Epoch 425, Validation Loss: 0.058
Epoch 426, Validation Loss: 0.049
Epoch 427, Validation Loss: 0.056
Epoch 428, Validation Loss: 0.052
Epoch 429, Validation Loss: 0.055
Epoch 430, Validation Loss: 0.049
Epoch 431, Validation Loss: 0.044
Epoch 432, Validation Loss: 0.047
Epoch 433, Validation Loss: 0.061
Epoch 434, Validation Loss: 0.052
Epoch 435, Validation Loss: 0.052
Epoch 436, Validation Loss: 0.064
Epoch 437, Validation Loss: 0.053
Epoch 438, Validation Loss: 0.049
Epoch 439, Validation Loss: 0.062
Epoch 440, Validation Loss: 0.054
Epoch 441, Validation Loss: 0.057
Epoch 442, Validation Loss: 0.055
Epoch 443, Validation Loss: 0.046
Epoch 444, Validation Loss: 0.056
Epoch 445, Validation Loss: 0.055
Epoch 446, Validation Loss: 0.047
Epoch 447, Validation Loss: 0.055
Epoch 448, Validation Loss: 0.062
Epoch 449, Validation Loss: 0.053
Epoch 450, Validation Loss: 0.052
Epoch 451, Validation Loss: 0.050
Epoch 452, Validation Loss: 0.057
Epoch 453, Validation Loss: 0.054
Epoch 454, Validation Loss: 0.054
Epoch 455, Validation Loss: 0.056
Epoch 456, Validation Loss: 0.047
Epoch 457, Validation Loss: 0.051
Epoch 458, Validation Loss: 0.050
Epoch 459, Validation Loss: 0.047
Epoch 460, Validation Loss: 0.054
Epoch 461, Validation Loss: 0.052
Epoch 462, Validation Loss: 0.047
Epoch 463, Validation Loss: 0.056
Epoch 464, Validation Loss: 0.053
Epoch 465, Validation Loss: 0.053
Epoch 466, Validation Loss: 0.057
Epoch 467, Validation Loss: 0.058
Epoch 468, Validation Loss: 0.065
Epoch 469, Validation Loss: 0.055
Epoch 470, Validation Loss: 0.046
Epoch 471, Validation Loss: 0.047
Epoch 472, Validation Loss: 0.058
Epoch 473, Validation Loss: 0.052
Epoch 474, Validation Loss: 0.054
Epoch 475, Validation Loss: 0.052
Epoch 476, Validation Loss: 0.046
Epoch 477, Validation Loss: 0.054
Epoch 478, Validation Loss: 0.061
Epoch 479, Validation Loss: 0.057
Epoch 480, Validation Loss: 0.062
